Date,Open,High,Low,Close,Adj Close,Volume
2012-01-23,1489.800049,1493.800049,1468.000000,1478.250000,1365.435181,726
2012-01-24,1493.949951,1494.449951,1463.000000,1469.599976,1357.445068,1075
2012-01-25,1477.000000,1483.949951,1465.050049,1480.750000,1367.744019,967
2012-01-27,1480.000000,1489.949951,1445.750000,1454.099976,1343.127930,2980
2012-01-30,1453.300049,1469.449951,1424.000000,1437.699951,1327.979492,1066
2012-01-31,1473.000000,1473.000000,1440.000000,1466.349976,1354.443115,4360
2012-02-01,1469.300049,1480.000000,1455.150024,1476.650024,1363.957153,1364
2012-02-02,1470.000000,1489.800049,1461.250000,1478.199951,1365.388672,1809
2012-02-03,1470.000000,1483.199951,1453.000000,1466.500000,1354.581543,2195
2012-02-06,1446.949951,1478.000000,1402.400024,1460.250000,1348.808716,1839
2012-02-07,1470.000000,1480.000000,1460.000000,1475.650024,1363.033203,1118
2012-02-08,1480.000000,1509.000000,1465.250000,1493.650024,1379.659668,1143
2012-02-09,1490.000000,1510.000000,1480.000000,1503.550049,1388.804077,1880
2012-02-10,1505.000000,1510.000000,1490.550049,1496.150024,1381.968750,442
2012-02-13,1499.900024,1499.900024,1480.000000,1486.449951,1373.008789,440
2012-02-14,1466.949951,1496.500000,1466.000000,1485.000000,1371.669556,1354
2012-02-15,1499.000000,1525.000000,1470.500000,1490.199951,1376.472900,9534
2012-02-16,1498.000000,1498.000000,1476.000000,1480.150024,1367.189819,2423
2012-02-17,1484.000000,1509.000000,1466.250000,1495.349976,1381.229614,26186
2012-02-21,1509.000000,1515.000000,1460.000000,1487.699951,1374.163696,1873
2012-02-22,1492.400024,1495.000000,1472.150024,1474.949951,1362.386475,1578
2012-02-23,1470.000000,1483.000000,1460.000000,1474.300049,1361.786377,4546
2012-02-24,1469.949951,1486.000000,1452.000000,1475.349976,1362.756226,4721
2012-02-27,1483.300049,1483.300049,1462.000000,1471.099976,1358.830688,1055
2012-02-28,1475.000000,1484.000000,1460.000000,1468.500000,1356.428955,2751
2012-02-29,1485.000000,1564.900024,1465.000000,1535.800049,1418.592529,12558
2012-03-01,1545.000000,1545.000000,1500.000000,1511.099976,1395.777832,3398
2012-03-02,1524.000000,1530.000000,1505.650024,1508.400024,1393.283813,2005
2012-03-03,null,null,null,null,null,null
2012-03-05,1525.000000,1545.000000,1490.000000,1509.849976,1394.623291,3274
2012-03-06,1490.000000,1604.900024,1490.000000,1572.400024,1452.399658,8043
2012-03-07,1555.000000,1569.000000,1530.000000,1543.150024,1425.381836,2061
2012-03-09,1549.000000,1577.900024,1535.050049,1539.650024,1422.149048,887
2012-03-12,1535.000000,1550.000000,1517.300049,1521.849976,1405.707520,821
2012-03-13,1548.849976,1548.849976,1517.000000,1525.949951,1409.494629,1417
2012-03-14,1518.699951,1578.000000,1499.000000,1552.500000,1434.018311,4635
2012-03-15,1533.099976,1549.000000,1491.000000,1496.250000,1382.061035,5989
2012-03-16,1505.000000,1528.000000,1492.000000,1501.699951,1387.095215,412
2012-03-19,1493.000000,1527.800049,1493.000000,1502.599976,1387.926636,8055
2012-03-20,1501.150024,1519.750000,1501.150024,1509.400024,1394.207642,514
2012-03-21,1527.000000,1527.000000,1510.000000,1516.900024,1401.135376,570
2012-03-22,1529.949951,1529.949951,1500.000000,1503.500000,1388.758057,569
2012-03-23,1520.000000,1524.949951,1500.000000,1502.349976,1387.695435,648
2012-03-26,1528.000000,1530.000000,1490.000000,1499.349976,1384.924561,981
2012-03-27,1519.000000,1519.000000,1485.000000,1495.349976,1381.229614,1166
2012-03-28,1509.949951,1509.949951,1495.000000,1503.199951,1388.480713,273
2012-03-29,1506.000000,1514.800049,1496.199951,1502.500000,1387.833984,520
2012-03-30,1515.199951,1534.000000,1505.050049,1528.199951,1411.572876,655
2012-04-02,1533.000000,1534.000000,1512.599976,1520.949951,1404.875977,11514
2012-04-03,1530.000000,1548.000000,1525.099976,1529.800049,1413.050903,1595
2012-04-04,1520.000000,1600.000000,1520.000000,1576.150024,1455.863647,5121
2012-04-09,1566.500000,1591.949951,1550.000000,1563.050049,1443.763184,786
2012-04-10,1566.000000,1608.849976,1540.000000,1594.400024,1472.720581,1690
2012-04-11,1593.000000,1619.949951,1593.000000,1606.599976,1483.989380,2583
2012-04-12,1610.000000,1654.000000,1595.050049,1635.150024,1510.360718,10146
2012-04-13,1665.000000,1768.000000,1652.000000,1712.000000,1581.345825,19800
2012-04-16,1789.000000,1789.000000,1713.000000,1719.550049,1588.319946,5133
2012-04-17,1730.099976,1756.949951,1715.550049,1732.150024,1599.958130,4197
2012-04-18,1725.099976,1749.000000,1715.650024,1722.349976,1590.906128,1332
2012-04-19,1703.300049,1767.000000,1703.300049,1758.250000,1624.066284,8649
2012-04-20,1763.500000,1765.000000,1710.000000,1725.250000,1593.584717,2340
2012-04-23,1744.900024,1750.050049,1702.000000,1708.750000,1578.343994,3229
2012-04-24,1705.050049,1732.000000,1681.000000,1683.949951,1555.436646,1608
2012-04-25,1675.050049,1695.099976,1635.099976,1642.699951,1517.334351,1759
2012-04-26,1630.099976,1655.000000,1616.000000,1649.800049,1523.892822,2301
2012-04-27,1629.500000,1658.900024,1611.099976,1647.300049,1521.583496,2222
2012-04-30,1637.000000,1645.000000,1620.000000,1626.500000,1502.370850,1939
2012-05-02,1626.000000,1664.000000,1600.000000,1608.849976,1486.067871,4074
2012-05-03,1630.000000,1638.300049,1591.099976,1603.250000,1480.895264,3492
2012-05-04,1615.000000,1615.000000,1521.150024,1575.150024,1470.532593,7471
2012-05-07,1548.000000,1602.000000,1536.050049,1559.349976,1455.781860,2179
2012-05-08,1570.000000,1590.000000,1550.000000,1565.650024,1461.663452,2016
2012-05-09,1555.000000,1569.900024,1499.949951,1508.199951,1408.029175,2453
2012-05-10,1501.000000,1540.000000,1501.000000,1512.849976,1412.370361,2564
2012-05-11,1512.000000,1525.000000,1511.400024,1520.650024,1419.652222,746
2012-05-14,1505.050049,1536.900024,1501.500000,1506.900024,1406.815552,1287
2012-05-15,1520.000000,1546.000000,1441.000000,1457.449951,1360.649902,7709
2012-05-16,1440.000000,1479.000000,1425.000000,1465.349976,1368.024902,6690
2012-05-17,1452.000000,1498.849976,1452.000000,1465.300049,1367.978638,1760
2012-05-18,1444.000000,1498.000000,1443.900024,1467.050049,1369.612427,1991
2012-05-21,1460.000000,1477.900024,1452.099976,1454.099976,1357.522339,910
2012-05-22,1450.050049,1485.000000,1425.000000,1435.449951,1340.111206,1035
2012-05-23,1430.000000,1454.949951,1416.150024,1433.650024,1338.430664,1135
2012-05-24,1420.199951,1460.000000,1415.000000,1446.500000,1350.426880,1072
2012-05-25,1430.000000,1480.000000,1430.000000,1467.550049,1370.079102,2957
2012-05-28,1460.050049,1480.000000,1450.250000,1454.150024,1357.569092,830
2012-05-29,1451.050049,1468.000000,1447.000000,1456.300049,1359.576538,793
2012-05-30,1457.000000,1464.949951,1431.050049,1435.550049,1340.204346,886
2012-05-31,1425.500000,1430.000000,1345.449951,1386.250000,1294.178955,29443
2012-06-01,1380.099976,1444.949951,1375.099976,1423.699951,1329.141357,2786
2012-06-04,1423.699951,1423.699951,1400.000000,1409.550049,1315.931274,608
2012-06-05,1429.000000,1484.949951,1408.050049,1419.849976,1325.546997,2066
2012-06-06,1425.000000,1449.000000,1408.000000,1441.500000,1345.759399,2173
2012-06-07,1426.000000,1464.000000,1426.000000,1454.000000,1357.429199,1642
2012-06-08,1469.000000,1475.000000,1440.050049,1462.050049,1364.944336,1002
2012-06-11,1499.000000,1505.000000,1451.000000,1460.300049,1363.310547,2374
2012-06-12,1465.000000,1491.949951,1430.000000,1474.449951,1376.520874,921
2012-06-13,1460.000000,1490.000000,1460.000000,1481.250000,1382.869141,766
2012-06-14,1490.000000,1490.000000,1430.000000,1454.599976,1357.989136,1794
2012-06-15,1443.250000,1478.000000,1443.250000,1460.300049,1363.310547,844
2012-06-18,1461.000000,1469.949951,1428.000000,1436.400024,1340.998047,1974
2012-06-19,1428.050049,1450.000000,1428.050049,1439.300049,1343.705444,377
2012-06-20,1425.000000,1460.000000,1421.000000,1427.599976,1332.782593,2620
2012-06-21,1430.099976,1441.500000,1420.000000,1438.199951,1342.678345,1104
2012-06-22,1445.000000,1450.000000,1415.150024,1439.349976,1343.751953,3605
2012-06-25,1440.000000,1490.000000,1426.199951,1441.550049,1345.806030,3347
2012-06-26,1475.000000,1475.000000,1425.300049,1433.050049,1337.870483,2183
2012-06-27,1438.000000,1467.000000,1437.000000,1454.449951,1357.848999,6673
2012-06-28,1468.000000,1469.949951,1442.250000,1457.449951,1360.649902,411
2012-06-29,1464.000000,1485.000000,1450.250000,1477.199951,1379.088257,3360
2012-07-02,1479.000000,1480.000000,1456.000000,1464.300049,1367.045044,1774
2012-07-03,1475.000000,1492.000000,1467.000000,1474.800049,1376.847656,1977
2012-07-04,1485.000000,1500.000000,1484.000000,1489.650024,1390.711182,2094
2012-07-05,1490.000000,1524.800049,1490.000000,1505.900024,1405.881958,1640
2012-07-06,1511.000000,1520.000000,1490.000000,1503.400024,1403.547974,847
2012-07-09,1496.000000,1520.000000,1479.500000,1491.000000,1391.971313,851
2012-07-10,1484.150024,1500.000000,1470.000000,1491.300049,1392.251587,1520
2012-07-11,1505.000000,1505.000000,1471.000000,1475.599976,1377.594360,1145
2012-07-12,1496.949951,1496.949951,1470.000000,1473.699951,1375.820557,290
2012-07-13,1490.000000,1490.000000,1471.199951,1478.900024,1380.675293,895
2012-07-16,1480.000000,1480.000000,1460.250000,1475.750000,1377.734619,3358
2012-07-17,1480.500000,1497.300049,1472.000000,1491.250000,1392.205078,8097
2012-07-18,1480.000000,1495.000000,1480.000000,1493.699951,1394.492188,475
